RAND, t=1, c=2




RAND, t=64, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.596    1.000+-6.5%, 0.596    0.982+-5.4%, 0.596    1.006+-6.1%, 0.596    1.087+-5.5%, 0.596    1.280+-3.9%, 0.596    1.291+-4.3%, 0.596    1.332+-3.9%, 0.596    1.370+-3.3%, 0.596    1.397+-5.7%, 0.596    1.369+-3.7%
0.95, 0.596    0.976+-5.7%, 0.596    0.985+-5.0%, 0.596    0.986+-6.1%, 0.596    1.067+-4.8%, 0.596    1.248+-3.7%, 0.596    1.296+-3.9%, 0.596    1.316+-3.7%, 0.596    1.348+-2.7%, 0.596    1.402+-2.9%, 0.596    1.394+-4.0%
0.9, 0.596    0.997+-5.7%, 0.596    0.988+-5.2%, 0.596    0.989+-5.3%, 0.596    1.082+-4.6%, 0.596    1.265+-3.4%, 0.596    1.307+-4.0%, 0.596    1.343+-3.7%, 0.596    1.351+-3.1%, 0.596    1.360+-2.9%, 0.596    1.384+-4.0%
0.5, 0.596    1.001+-6.0%, 0.596    0.987+-5.8%, 0.596    0.986+-6.6%, 0.596    1.084+-4.0%, 0.596    1.280+-1.6%, 0.596    1.342+-4.4%, 0.596    1.370+-3.4%, 0.596    1.408+-1.1%, 0.596    1.423+-2.0%, 0.596    1.417+-2.5%
0.1, 0.596    1.019+-4.5%, 0.596    0.998+-5.0%, 0.596    1.012+-4.7%, 0.596    1.103+-3.8%, 0.596    1.325+-4.6%, 0.596    1.393+-3.5%, 0.596    1.430+-2.1%, 0.596    1.515+-2.3%, 0.596    1.537+-1.5%, 0.596    1.554+-2.5%
0.05, 0.596    0.997+-4.4%, 0.596    1.001+-6.1%, 0.596    1.010+-5.1%, 0.596    1.090+-4.9%, 0.596    1.332+-1.9%, 0.596    1.415+-1.3%, 0.596    1.463+-2.3%, 0.596    1.551+-1.9%, 0.596    1.585+-1.5%, 0.596    1.655
0.03, 0.596    0.997+-5.7%, 0.596    1.003+-5.8%, 0.596    0.999+-6.0%, 0.596    1.097+-5.2%, 0.596    1.346+-2.9%, 0.596    1.423+-3.1%, 0.596    1.481+-2.5%, 0.596    1.557+-1.4%, 0.596    1.637+-1.6%, 0.701+-21.3%    0.390+-108.8%
0.01, 0.596    1.045+-13.7%, 0.596    0.998+-4.9%, 0.596    1.008+-5.6%, 0.596    1.099+-5.3%, 0.596    1.347+-2.7%, 0.596    1.430+-2.6%, 0.596    1.478+-2.3%, 0.596    1.595+-1.6%, 0.596    1.677+-1.1%, 0.596    1.785
0.005, 0.596    0.996+-5.8%, 0.596    1.025+-5.5%, 0.596    1.002+-5.9%, 0.596    1.100+-5.4%, 0.596    1.345+-2.9%, 0.596    1.459+-2.2%, 0.596    1.515+-1.2%, 0.596    1.634, 0.596    1.688, 0.596    1.820
0.001, 0.596    1.002+-4.9%, 0.596    1.087+-3.4%, 0.596    1.012+-4.8%, 0.596    1.104+-4.0%, 0.596    1.354+-3.0%, 0.596    1.456+-2.9%, 0.596    1.519+-2.4%, 0.596    1.639+-1.8%, 0.596    1.720+-0.5%, 0.597    1.939+-1.8%



